"Site","Site_Category"
"120 Reef","MPA"
"3 Palms East","PVR-Adj"
"3 Palms West","PVR-Adj"
"Abalone Cove Kelp East","Non-MPA"
"Abalone Cove Kelp West","MPA"
"Albondigas","Non-MPA"
"Bunker Point","PVR-Adj"
"Burial Grounds","PVR-Adj"
"Cairns","Non-MPA"
"Cape Point","PVR-Adj"
"Christmas Tree Cove","Non-MPA"
"Flat Rock North","Non-MPA"
"Flat Rock South","Non-MPA"
"Golden Cove","Non-MPA"
"Hawthorne Reef","PVR-Control"
"Honeymoon Cove","PVR-Control"
"KOU Rock","PVR-Adj"
"Long Point East","MPA"
"Long Point West","MPA"
"Lunada Bay","PVR-Control"
"Marguerite Central","Non-MPA"
"Marguerite East","Non-MPA"
"Marguerite West","Non-MPA"
"Old 18th","PVR-Adj"
"Old Marineland","MPA"
"Point Fermin","Non-MPA"
"Point Vicente West","MPA"
"Portuguese Bend","Non-MPA"
"Portuguese Point","MPA"
"PVR 2A","PVR-Adj"
"PVR 2B","PVR-Adj"
"PVR 2C","PVR-Adj"
"PVR 4A","PVR-Adj"
"PVR 4B","PVR-Adj"
"PVR 4C","PVR-Adj"
"PVR 5A","PVR-Adj"
"PVR 5B","PVR-Adj"
"PVR 5C","PVR-Adj"
"PVR 6B","PVR-Adj"
"PVR 6C","PVR-Adj"
"PVR 6D","PVR-Adj"
"PVR 7A","PVR-Adj"
"PVR 7B","PVR-Adj"
"PVR 7C","PVR-Adj"
"PVR 8A","PVR-Adj"
"PVR 8B","PVR-Adj"
"PVR 8C","PVR-Adj"
"Resort Point","PVR-Control"
"Ridges North","PVR-Control"
"Ridges South","Non-MPA"
"Rocky Point North","PVR-Control"
"Rocky Point South","PVR-Control"
"Segovia","Non-MPA"
"Underwater Arch","Non-MPA"
"Whites Point","Non-MPA"
