".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif","Species","Kruskal_P"
"Mean_Density","MPA","Non-MPA",7,15,52,1,1,"ns","Mesocentrotus franciscanus",0.0158
"Mean_Density","MPA","PVR",7,18,31,0.055,0.552,"ns","Mesocentrotus franciscanus",0.0158
"Mean_Density","MPA","PVR-Adj",7,7,37,0.128,1,"ns","Mesocentrotus franciscanus",0.0158
"Mean_Density","MPA","PVR-Control",7,7,17,0.383,1,"ns","Mesocentrotus franciscanus",0.0158
"Mean_Density","Non-MPA","PVR",15,18,82,0.057,0.569,"ns","Mesocentrotus franciscanus",0.0158
"Mean_Density","Non-MPA","PVR-Adj",15,7,76,0.106,1,"ns","Mesocentrotus franciscanus",0.0158
"Mean_Density","Non-MPA","PVR-Control",15,7,49,0.837,1,"ns","Mesocentrotus franciscanus",0.0158
"Mean_Density","PVR","PVR-Adj",18,7,108,0.005,0.049,"*","Mesocentrotus franciscanus",0.0158
"Mean_Density","PVR","PVR-Control",18,7,88,0.141,1,"ns","Mesocentrotus franciscanus",0.0158
"Mean_Density","PVR-Adj","PVR-Control",7,7,3,0.004,0.041,"*","Mesocentrotus franciscanus",0.0158
"Mean_Density","MPA","Non-MPA",7,15,40,0.407,1,"ns","Strongylocentrotus purpuratus",0.00674
"Mean_Density","MPA","PVR",7,18,100,0.027,0.271,"ns","Strongylocentrotus purpuratus",0.00674
"Mean_Density","MPA","PVR-Adj",7,7,43,0.018,0.175,"ns","Strongylocentrotus purpuratus",0.00674
"Mean_Density","MPA","PVR-Control",7,7,25,1,1,"ns","Strongylocentrotus purpuratus",0.00674
"Mean_Density","Non-MPA","PVR",15,18,212,0.006,0.057,"ns","Strongylocentrotus purpuratus",0.00674
"Mean_Density","Non-MPA","PVR-Adj",15,7,82,0.039,0.387,"ns","Strongylocentrotus purpuratus",0.00674
"Mean_Density","Non-MPA","PVR-Control",15,7,64,0.447,1,"ns","Strongylocentrotus purpuratus",0.00674
"Mean_Density","PVR","PVR-Adj",18,7,60,0.88,1,"ns","Strongylocentrotus purpuratus",0.00674
"Mean_Density","PVR","PVR-Control",18,7,26,0.027,0.271,"ns","Strongylocentrotus purpuratus",0.00674
"Mean_Density","PVR-Adj","PVR-Control",7,7,8,0.038,0.379,"ns","Strongylocentrotus purpuratus",0.00674
"Mean_Density","MPA","Non-MPA",7,15,53,1,1,"ns","Patiria miniata",0.597
"Mean_Density","MPA","PVR",7,18,67,0.832,1,"ns","Patiria miniata",0.597
"Mean_Density","MPA","PVR-Adj",7,7,20,0.609,1,"ns","Patiria miniata",0.597
"Mean_Density","MPA","PVR-Control",7,7,18,0.443,1,"ns","Patiria miniata",0.597
"Mean_Density","Non-MPA","PVR",15,18,138,0.928,1,"ns","Patiria miniata",0.597
"Mean_Density","Non-MPA","PVR-Adj",15,7,30,0.123,1,"ns","Patiria miniata",0.597
"Mean_Density","Non-MPA","PVR-Control",15,7,41,0.447,1,"ns","Patiria miniata",0.597
"Mean_Density","PVR","PVR-Adj",18,7,39,0.155,1,"ns","Patiria miniata",0.597
"Mean_Density","PVR","PVR-Control",18,7,51,0.486,1,"ns","Patiria miniata",0.597
"Mean_Density","PVR-Adj","PVR-Control",7,7,26,0.902,1,"ns","Patiria miniata",0.597
"Mean_Density","MPA","Non-MPA",7,15,34,0.197,1,"ns","Pisaster ochraceus",0.046
"Mean_Density","MPA","PVR",7,18,69,0.707,1,"ns","Pisaster ochraceus",0.046
"Mean_Density","MPA","PVR-Adj",7,7,37,0.074,0.739,"ns","Pisaster ochraceus",0.046
"Mean_Density","MPA","PVR-Control",7,7,31,0.413,1,"ns","Pisaster ochraceus",0.046
"Mean_Density","Non-MPA","PVR",15,18,179,0.095,0.946,"ns","Pisaster ochraceus",0.046
"Mean_Density","Non-MPA","PVR-Adj",15,7,88.5,0.009,0.085,"ns","Pisaster ochraceus",0.046
"Mean_Density","Non-MPA","PVR-Control",15,7,82.5,0.033,0.33,"ns","Pisaster ochraceus",0.046
"Mean_Density","PVR","PVR-Adj",18,7,78,0.267,1,"ns","Pisaster ochraceus",0.046
"Mean_Density","PVR","PVR-Control",18,7,66,0.86,1,"ns","Pisaster ochraceus",0.046
"Mean_Density","PVR-Adj","PVR-Control",7,7,17.5,0.297,1,"ns","Pisaster ochraceus",0.046
"Mean_Density","MPA","Non-MPA",7,15,49,0.837,1,"ns","Pisaster giganteus",0.0073
"Mean_Density","MPA","PVR",7,18,29.5,0.045,0.453,"ns","Pisaster giganteus",0.0073
"Mean_Density","MPA","PVR-Adj",7,7,44,0.015,0.151,"ns","Pisaster giganteus",0.0073
"Mean_Density","MPA","PVR-Control",7,7,23,0.902,1,"ns","Pisaster giganteus",0.0073
"Mean_Density","Non-MPA","PVR",15,18,74,0.029,0.286,"ns","Pisaster giganteus",0.0073
"Mean_Density","Non-MPA","PVR-Adj",15,7,88,0.014,0.135,"ns","Pisaster giganteus",0.0073
"Mean_Density","Non-MPA","PVR-Control",15,7,47,0.731,1,"ns","Pisaster giganteus",0.0073
"Mean_Density","PVR","PVR-Adj",18,7,98,0.036,0.364,"ns","Pisaster giganteus",0.0073
"Mean_Density","PVR","PVR-Control",18,7,97,0.042,0.422,"ns","Pisaster giganteus",0.0073
"Mean_Density","PVR-Adj","PVR-Control",7,7,0,0.002,0.021,"*","Pisaster giganteus",0.0073
