".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif","Species","Kruskal_P"
"Mean_Density","MPA","Non-MPA",4,12,21,0.77,1,"ns","Mesocentrotus franciscanus",0.104
"Mean_Density","MPA","PVR",4,18,21,0.227,1,"ns","Mesocentrotus franciscanus",0.104
"Mean_Density","MPA","PVR-Adj",4,7,17,0.648,1,"ns","Mesocentrotus franciscanus",0.104
"Mean_Density","MPA","PVR-Control",4,7,9,0.412,1,"ns","Mesocentrotus franciscanus",0.104
"Mean_Density","Non-MPA","PVR",12,18,76,0.185,1,"ns","Mesocentrotus franciscanus",0.104
"Mean_Density","Non-MPA","PVR-Adj",12,7,56,0.261,1,"ns","Mesocentrotus franciscanus",0.104
"Mean_Density","Non-MPA","PVR-Control",12,7,37,0.711,1,"ns","Mesocentrotus franciscanus",0.104
"Mean_Density","PVR","PVR-Adj",18,7,103,0.014,0.141,"ns","Mesocentrotus franciscanus",0.104
"Mean_Density","PVR","PVR-Control",18,7,75,0.495,1,"ns","Mesocentrotus franciscanus",0.104
"Mean_Density","PVR-Adj","PVR-Control",7,7,7,0.026,0.262,"ns","Mesocentrotus franciscanus",0.104
"Mean_Density","MPA","Non-MPA",4,12,18,0.521,1,"ns","Strongylocentrotus purpuratus",0.15
"Mean_Density","MPA","PVR",4,18,31,0.702,1,"ns","Strongylocentrotus purpuratus",0.15
"Mean_Density","MPA","PVR-Adj",4,7,20,0.315,1,"ns","Strongylocentrotus purpuratus",0.15
"Mean_Density","MPA","PVR-Control",4,7,4,0.073,0.727,"ns","Strongylocentrotus purpuratus",0.15
"Mean_Density","Non-MPA","PVR",12,18,124,0.512,1,"ns","Strongylocentrotus purpuratus",0.15
"Mean_Density","Non-MPA","PVR-Adj",12,7,61,0.12,1,"ns","Strongylocentrotus purpuratus",0.15
"Mean_Density","Non-MPA","PVR-Control",12,7,38,0.773,1,"ns","Strongylocentrotus purpuratus",0.15
"Mean_Density","PVR","PVR-Adj",18,7,88,0.138,1,"ns","Strongylocentrotus purpuratus",0.15
"Mean_Density","PVR","PVR-Control",18,7,40,0.173,1,"ns","Strongylocentrotus purpuratus",0.15
"Mean_Density","PVR-Adj","PVR-Control",7,7,5,0.011,0.111,"ns","Strongylocentrotus purpuratus",0.15
"Mean_Density","MPA","Non-MPA",4,12,43,0.025,0.248,"ns","Patiria miniata",0.0126
"Mean_Density","MPA","PVR",4,18,70,0.004,0.043,"*","Patiria miniata",0.0126
"Mean_Density","MPA","PVR-Adj",4,7,23,0.109,1,"ns","Patiria miniata",0.0126
"Mean_Density","MPA","PVR-Control",4,7,18,0.527,1,"ns","Patiria miniata",0.0126
"Mean_Density","Non-MPA","PVR",12,18,140,0.182,1,"ns","Patiria miniata",0.0126
"Mean_Density","Non-MPA","PVR-Adj",12,7,29,0.291,1,"ns","Patiria miniata",0.0126
"Mean_Density","Non-MPA","PVR-Control",12,7,31,0.375,1,"ns","Patiria miniata",0.0126
"Mean_Density","PVR","PVR-Adj",18,7,25,0.023,0.232,"ns","Patiria miniata",0.0126
"Mean_Density","PVR","PVR-Control",18,7,35,0.096,0.96,"ns","Patiria miniata",0.0126
"Mean_Density","PVR-Adj","PVR-Control",7,7,26,0.902,1,"ns","Patiria miniata",0.0126
"Mean_Density","MPA","Non-MPA",4,12,14,0.161,1,"ns","Pisaster ochraceus",0.394
"Mean_Density","MPA","PVR",4,18,24,0.211,1,"ns","Pisaster ochraceus",0.394
"Mean_Density","MPA","PVR-Adj",4,7,12,0.571,1,"ns","Pisaster ochraceus",0.394
"Mean_Density","MPA","PVR-Control",4,7,10,0.327,1,"ns","Pisaster ochraceus",0.394
"Mean_Density","Non-MPA","PVR",12,18,107,0.98,1,"ns","Pisaster ochraceus",0.394
"Mean_Density","Non-MPA","PVR-Adj",12,7,56,0.166,1,"ns","Pisaster ochraceus",0.394
"Mean_Density","Non-MPA","PVR-Control",12,7,52.5,0.329,1,"ns","Pisaster ochraceus",0.394
"Mean_Density","PVR","PVR-Adj",18,7,78,0.267,1,"ns","Pisaster ochraceus",0.394
"Mean_Density","PVR","PVR-Control",18,7,72,0.534,1,"ns","Pisaster ochraceus",0.394
"Mean_Density","PVR-Adj","PVR-Control",7,7,21.5,0.656,1,"ns","Pisaster ochraceus",0.394
"Mean_Density","MPA","Non-MPA",4,12,20,0.666,1,"ns","Pisaster giganteus",0.0309
"Mean_Density","MPA","PVR",4,18,16,0.094,0.935,"ns","Pisaster giganteus",0.0309
"Mean_Density","MPA","PVR-Adj",4,7,14,1,1,"ns","Pisaster giganteus",0.0309
"Mean_Density","MPA","PVR-Control",4,7,8,0.298,1,"ns","Pisaster giganteus",0.0309
"Mean_Density","Non-MPA","PVR",12,18,57,0.031,0.314,"ns","Pisaster giganteus",0.0309
"Mean_Density","Non-MPA","PVR-Adj",12,7,50,0.524,1,"ns","Pisaster giganteus",0.0309
"Mean_Density","Non-MPA","PVR-Control",12,7,29,0.29,1,"ns","Pisaster giganteus",0.0309
"Mean_Density","PVR","PVR-Adj",18,7,99,0.031,0.309,"ns","Pisaster giganteus",0.0309
"Mean_Density","PVR","PVR-Control",18,7,90,0.108,1,"ns","Pisaster giganteus",0.0309
"Mean_Density","PVR-Adj","PVR-Control",7,7,4,0.01,0.102,"ns","Pisaster giganteus",0.0309
