SampleDate,Site,BenthicReefSpecies,Latitude,Longitude,Density_m2,Category
1-Aug-22,3 Palms East,Mesocentrotus franciscanus,33.719,-118.3318,0.05,PVR
1-Aug-22,3 Palms East,Strongylocentrotus purpuratus,33.719,-118.3318,0.083333333,PVR
1-Dec-16,Old 18th,Luidia armata,33.72096,-118.34545,0.05,PVR
1-Dec-16,Old 18th,Mesocentrotus franciscanus,33.72309,-118.34377,0.016666667,PVR
1-Dec-16,Old 18th,Patiria miniata,33.72153,-118.34498,0.033333333,PVR
1-Dec-16,Old 18th,Strongylocentrotus purpuratus,33.723075,-118.343805,0.05,PVR
1-Dec-17,Cape Point,Mesocentrotus franciscanus,33.71946,-118.34091,0.116666667,PVR
1-Dec-17,Cape Point,Patiria miniata,33.718685,-118.3411975,0.133333333,PVR
1-Jul-11,Bunker Point,Mesocentrotus franciscanus,33.72551667,-118.3531067,0.866666667,PVR
1-Jul-11,Bunker Point,Patiria miniata,33.72540333,-118.3533533,0.05,PVR
1-Jul-11,Bunker Point,Pisaster giganteus,33.72546,-118.35323,0.5,PVR
1-Jul-11,Bunker Point,Pisaster ochraceus,33.72563,-118.35286,0.033333333,PVR
1-Jul-11,Bunker Point,Strongylocentrotus purpuratus,33.725562,-118.353008,7.4,PVR
1-Jul-22,Rocky Point North,Centrostephanus coronatus,33.78149,-118.43324,0.033333333,
1-Jul-22,Rocky Point North,Henricia sp,33.78120111,-118.4319467,0.233333333,
1-Jul-22,Rocky Point North,Linckia columbiae,33.78084,-118.43033,0.066666667,
1-Jul-22,Rocky Point North,Mesocentrotus franciscanus,33.78088857,-118.4311143,2.233333333,
1-Jul-22,Rocky Point North,Patiria miniata,33.78149,-118.43324,0.083333333,
1-Jul-22,Rocky Point North,Pisaster giganteus,33.78149,-118.43324,0.016666667,
1-Jul-22,Rocky Point North,Strongylocentrotus purpuratus,33.78039889,-118.4296178,0.583333333,
2-Aug-19,Cape Point,Mesocentrotus franciscanus,33.72164,-118.34029,0.066666667,PVR
2-Aug-19,Cape Point,Strongylocentrotus purpuratus,33.72164,-118.34029,0.133333333,PVR
2-Aug-19,3 Palms West,Astropecten armatus,33.71594,-118.33688,0.016666667,PVR
2-Aug-19,3 Palms West,Centrostephanus coronatus,33.71802,-118.33533,0.016666667,PVR
2-Aug-19,3 Palms West,Lytechinus pictus,33.71594,-118.33688,1.283333333,PVR
2-Aug-19,3 Palms West,Mesocentrotus franciscanus,33.717772,-118.335778,0.233333333,PVR
2-Aug-19,3 Palms West,Patiria miniata,33.71628667,-118.3366217,0.183333333,PVR
2-Aug-19,3 Palms West,Sclerasterias heteropaes,33.71594,-118.33688,0.016666667,PVR
2-Aug-19,3 Palms West,Strongylocentrotus purpuratus,33.71875,-118.335115,0.1,PVR
2-Jul-10,Rocky Point South,Mesocentrotus franciscanus,33.7767,-118.43029,0.066666667,
2-Jul-10,Rocky Point South,Pisaster giganteus,33.7767,-118.43029,0.1,
2-Jul-10,Rocky Point South,Strongylocentrotus purpuratus,33.7767,-118.43029,0.083333333,
2-Jul-13,Rocky Point North,Henricia sp,33.78084,-118.43033,0.083333333,
2-Jul-13,Rocky Point North,Linckia columbiae,33.78084,-118.43033,0.016666667,
2-Jul-13,Rocky Point North,Mesocentrotus franciscanus,33.78042,-118.4294867,0.65,
2-Jul-13,Rocky Point North,Pisaster giganteus,33.780525,-118.4296975,0.233333333,
2-Jul-13,Rocky Point North,Strongylocentrotus purpuratus,33.7803,-118.4292457,0.383333333,
2-Jul-14,Honeymoon Cove,Centrostephanus coronatus,33.76394,-118.42582,0.033333333,
2-Jul-14,Honeymoon Cove,Henricia sp,33.76394,-118.42582,0.033333333,
2-Jul-14,Honeymoon Cove,Mesocentrotus franciscanus,33.76437214,-118.4244057,1.9,
2-Jul-14,Honeymoon Cove,Patiria miniata,33.764056,-118.425204,0.85,
2-Jul-14,Honeymoon Cove,Strongylocentrotus purpuratus,33.76443786,-118.4242329,9.583333333,
2-Jul-20,Rocky Point North,Henricia sp,33.78130429,-118.4324086,0.166666667,
2-Jul-20,Rocky Point North,Linckia columbiae,33.780665,-118.429975,0.133333333,
2-Jul-20,Rocky Point North,Mesocentrotus franciscanus,33.78094455,-118.4312655,1.016666667,
2-Jul-20,Rocky Point North,Patiria miniata,33.78149,-118.43324,0.05,
2-Jul-20,Rocky Point North,Strongylocentrotus purpuratus,33.78047091,-118.4295836,0.666666667,
2-May-08,Rocky Point North,Henricia sp,33.78149,-118.43324,0.066666667,
2-May-08,Rocky Point North,Patiria miniata,33.78149,-118.43324,0.1,
2-May-08,Rocky Point North,Pisaster giganteus,33.78149,-118.43324,0.033333333,
2-May-08,Rocky Point South,Astrometis sertulifera,33.77727,-118.43464,0.016666667,
2-May-08,Rocky Point South,Patiria miniata,33.77727,-118.43464,0.366666667,
2-May-08,Rocky Point South,Pisaster giganteus,33.77727,-118.43464,0.016666667,
2-Nov-18,KOU Rock,Centrostephanus coronatus,33.71771,-118.33913,0.016666667,PVR
2-Nov-18,KOU Rock,Mesocentrotus franciscanus,33.718064,-118.338848,0.183333333,PVR
2-Nov-18,KOU Rock,Patiria miniata,33.717455,-118.339205,0.216666667,PVR
2-Nov-18,KOU Rock,Strongylocentrotus purpuratus,33.7209,-118.33718,0.1,PVR
2-Nov-21,Bunker Point,Mesocentrotus franciscanus,33.72529,-118.3536,0.45,PVR
