SampleDate,Site,BenthicReefSpecies,Latitude,Longitude,Density_m2
1-Aug-22,3 Palms East,Mesocentrotus franciscanus,33.719,-118.3318,0.05
1-Aug-22,3 Palms East,Strongylocentrotus purpuratus,33.719,-118.3318,0.083333333
1-Dec-16,Old 18th,Luidia armata,33.72096,-118.34545,0.05
1-Dec-16,Old 18th,Mesocentrotus franciscanus,33.72309,-118.34377,0.016666667
1-Dec-16,Old 18th,Patiria miniata,33.72153,-118.34498,0.033333333
1-Dec-16,Old 18th,Strongylocentrotus purpuratus,33.723075,-118.343805,0.05
1-Jul-11,Bunker Point,Mesocentrotus franciscanus,33.72551667,-118.3531067,0.866666667
1-Jul-11,Bunker Point,Patiria miniata,33.72540333,-118.3533533,0.05
1-Jul-11,Bunker Point,Pisaster giganteus,33.72546,-118.35323,0.5
1-Jul-11,Bunker Point,Pisaster ochraceus,33.72563,-118.35286,0.033333333
1-Jul-11,Bunker Point,Strongylocentrotus purpuratus,33.725562,-118.353008,7.4
1-Jul-21,Whites Point,Mesocentrotus franciscanus,33.71506,-118.32398,0.25
1-Jul-21,Whites Point,Patiria miniata,33.7159,-118.324535,0.066666667
1-Jul-21,Whites Point,Strongylocentrotus purpuratus,33.715396,-118.324202,0.566666667
1-Jul-21,Point Fermin,Mesocentrotus franciscanus,33.70645,-118.29944,0.366666667
1-Jul-21,Point Fermin,Patiria miniata,33.70645,-118.29944,0.1
1-Jul-21,Point Fermin,Strongylocentrotus purpuratus,33.70645,-118.29944,0.15
1-Jul-22,Ridges South,Strongylocentrotus purpuratus,33.78386,-118.42355,0.1
1-Jul-22,Rocky Point North,Centrostephanus coronatus,33.78149,-118.43324,0.033333333
1-Jul-22,Rocky Point North,Henricia sp,33.78120111,-118.4319467,0.233333333
1-Jul-22,Rocky Point North,Linckia columbiae,33.78084,-118.43033,0.066666667
1-Jul-22,Rocky Point North,Mesocentrotus franciscanus,33.78088857,-118.4311143,2.233333333
1-Jul-22,Rocky Point North,Patiria miniata,33.78149,-118.43324,0.083333333
1-Jul-22,Rocky Point North,Pisaster giganteus,33.78149,-118.43324,0.016666667
1-Jul-22,Rocky Point North,Strongylocentrotus purpuratus,33.78039889,-118.4296178,0.583333333
1-Sep-09,Ridges North,Henricia sp,33.79034,-118.42775,0.033333333
1-Sep-09,Ridges North,Mesocentrotus franciscanus,33.78872,-118.4239167,0.883333333
1-Sep-09,Ridges North,Patiria miniata,33.79034,-118.42775,0.366666667
1-Sep-09,Ridges North,Pisaster brevispinus,33.789125,-118.424875,0.033333333
1-Sep-09,Ridges North,Pisaster giganteus,33.78860429,-118.4236429,0.183333333
1-Sep-09,Ridges North,Strongylocentrotus purpuratus,33.78791,-118.422,0.116666667
2-Apr-08,Whites Point,Centrostephanus coronatus,33.71674,-118.32509,0.016666667
2-Apr-08,Whites Point,Mesocentrotus franciscanus,33.71674,-118.32509,0.083333333
2-Apr-08,Whites Point,Patiria miniata,33.71674,-118.32509,0.116666667
2-Apr-08,Whites Point,Pisaster giganteus,33.71674,-118.32509,0.183333333
2-Apr-08,Whites Point,Pisaster ochraceus,33.71674,-118.32509,0.533333333
2-Apr-08,Whites Point,Strongylocentrotus purpuratus,33.71674,-118.32509,1.15
2-Apr-08,Point Fermin,Centrostephanus coronatus,33.70711111,-118.2989844,0.5
2-Apr-08,Point Fermin,Mesocentrotus franciscanus,33.70660857,-118.2992429,1.366666667
2-Apr-08,Point Fermin,Ophioplocus esmarki,33.70645,-118.29944,0.066666667
2-Apr-08,Point Fermin,Patiria miniata,33.70636,-118.29942,0.85
2-Apr-08,Point Fermin,Pisaster brevispinus,33.70617667,-118.29956,0.216666667
2-Apr-08,Point Fermin,Pisaster giganteus,33.70662882,-118.2992565,1.283333333
2-Apr-08,Point Fermin,Pisaster ochraceus,33.7073425,-118.298825,0.666666667
2-Apr-08,Point Fermin,Strongylocentrotus purpuratus,33.70724333,-118.2988933,4.233333333
2-Aug-19,3 Palms West,Astropecten armatus,33.71594,-118.33688,0.016666667
2-Aug-19,3 Palms West,Centrostephanus coronatus,33.71802,-118.33533,0.016666667
2-Aug-19,3 Palms West,Lytechinus pictus,33.71594,-118.33688,1.283333333
2-Aug-19,3 Palms West,Mesocentrotus franciscanus,33.717772,-118.335778,0.233333333
2-Aug-19,3 Palms West,Patiria miniata,33.71628667,-118.3366217,0.183333333
2-Aug-19,3 Palms West,Sclerasterias heteropaes,33.71594,-118.33688,0.016666667
2-Aug-19,3 Palms West,Strongylocentrotus purpuratus,33.71875,-118.335115,0.1
2-Jul-10,Ridges North,Mesocentrotus franciscanus,33.78791,-118.422,1.016666667
2-Jul-10,Ridges North,Pisaster giganteus,33.78791,-118.422,0.183333333
2-Jul-10,Ridges North,Strongylocentrotus purpuratus,33.78791,-118.422,0.483333333
2-Jul-10,Rocky Point South,Mesocentrotus franciscanus,33.7767,-118.43029,0.066666667
2-Jul-10,Rocky Point South,Pisaster giganteus,33.7767,-118.43029,0.1
2-Jul-10,Rocky Point South,Strongylocentrotus purpuratus,33.7767,-118.43029,0.083333333
2-Jul-13,Ridges South,Mesocentrotus franciscanus,33.78386,-118.42355,0.066666667
2-Jul-13,Ridges South,Pisaster giganteus,33.78386,-118.42355,0.066666667
2-Jul-13,Ridges South,Strongylocentrotus purpuratus,33.78386,-118.42355,0.15
2-Jul-13,Rocky Point North,Henricia sp,33.78084,-118.43033,0.083333333
2-Jul-13,Rocky Point North,Linckia columbiae,33.78084,-118.43033,0.016666667
2-Jul-13,Rocky Point North,Mesocentrotus franciscanus,33.78042,-118.4294867,0.65
2-Jul-13,Rocky Point North,Pisaster giganteus,33.780525,-118.4296975,0.233333333
2-Jul-13,Rocky Point North,Strongylocentrotus purpuratus,33.7803,-118.4292457,0.383333333
2-Jul-14,Honeymoon Cove,Centrostephanus coronatus,33.76394,-118.42582,0.033333333
2-Jul-14,Honeymoon Cove,Henricia sp,33.76394,-118.42582,0.033333333
2-Jul-14,Honeymoon Cove,Mesocentrotus franciscanus,33.76437214,-118.4244057,1.9
2-Jul-14,Honeymoon Cove,Patiria miniata,33.764056,-118.425204,0.85
