"SampleYear","Era","Site","BenthicReefSpecies","DiveReplicate","DepthZone","Density_m2"
2015,"Pre-Construction","Ridges North","Apostichopus californicus","1","Inner",0
2015,"Pre-Construction","Ridges North","Apostichopus californicus","1","Middle",0
2015,"Pre-Construction","Ridges North","Apostichopus californicus","1","Outer",0
2015,"Pre-Construction","Ridges North","Apostichopus californicus","1","Deep",0
2015,"Pre-Construction","Ridges North","Apostichopus californicus","2","Inner",0
2015,"Pre-Construction","Ridges North","Apostichopus californicus","2","Middle",0
2015,"Pre-Construction","Ridges North","Apostichopus californicus","2","Outer",0
2015,"Pre-Construction","Ridges North","Apostichopus californicus","2","Deep",0
2015,"Pre-Construction","Ridges North","Apostichopus parvimensis","1","Inner",0
2015,"Pre-Construction","Ridges North","Apostichopus parvimensis","1","Middle",0
2015,"Pre-Construction","Ridges North","Apostichopus parvimensis","1","Outer",0
2015,"Pre-Construction","Ridges North","Apostichopus parvimensis","1","Deep",0
2015,"Pre-Construction","Ridges North","Apostichopus parvimensis","2","Inner",0
2015,"Pre-Construction","Ridges North","Apostichopus parvimensis","2","Middle",0
2015,"Pre-Construction","Ridges North","Apostichopus parvimensis","2","Outer",0
2015,"Pre-Construction","Ridges North","Apostichopus parvimensis","2","Deep",0
2015,"Pre-Construction","Ridges North","Mesocentrotus franciscanus","1","Inner",0.0166666666666667
2015,"Pre-Construction","Ridges North","Mesocentrotus franciscanus","1","Middle",0.0333333333333333
2015,"Pre-Construction","Ridges North","Mesocentrotus franciscanus","1","Outer",0.233333333333333
2015,"Pre-Construction","Ridges North","Mesocentrotus franciscanus","1","Deep",0.0333333333333333
2015,"Pre-Construction","Ridges North","Mesocentrotus franciscanus","2","Inner",0
2015,"Pre-Construction","Ridges North","Mesocentrotus franciscanus","2","Middle",0.05
2015,"Pre-Construction","Ridges North","Mesocentrotus franciscanus","2","Outer",0.0166666666666667
2015,"Pre-Construction","Ridges North","Mesocentrotus franciscanus","2","Deep",0
2015,"Pre-Construction","Ridges North","Patiria miniata","1","Inner",0
2015,"Pre-Construction","Ridges North","Patiria miniata","1","Middle",0
2015,"Pre-Construction","Ridges North","Patiria miniata","1","Outer",0
2015,"Pre-Construction","Ridges North","Patiria miniata","1","Deep",0
2015,"Pre-Construction","Ridges North","Patiria miniata","2","Inner",0
2015,"Pre-Construction","Ridges North","Patiria miniata","2","Middle",0
2015,"Pre-Construction","Ridges North","Patiria miniata","2","Outer",0
2015,"Pre-Construction","Ridges North","Patiria miniata","2","Deep",0
2015,"Pre-Construction","Ridges North","Pisaster giganteus","1","Inner",0
2015,"Pre-Construction","Ridges North","Pisaster giganteus","1","Middle",0
2015,"Pre-Construction","Ridges North","Pisaster giganteus","1","Outer",0
2015,"Pre-Construction","Ridges North","Pisaster giganteus","1","Deep",0
2015,"Pre-Construction","Ridges North","Pisaster giganteus","2","Inner",0
2015,"Pre-Construction","Ridges North","Pisaster giganteus","2","Middle",0
2015,"Pre-Construction","Ridges North","Pisaster giganteus","2","Outer",0
2015,"Pre-Construction","Ridges North","Pisaster giganteus","2","Deep",0
2015,"Pre-Construction","Ridges North","Pisaster ochraceus","1","Inner",0
2015,"Pre-Construction","Ridges North","Pisaster ochraceus","1","Middle",0
2015,"Pre-Construction","Ridges North","Pisaster ochraceus","1","Outer",0
2015,"Pre-Construction","Ridges North","Pisaster ochraceus","1","Deep",0
2015,"Pre-Construction","Ridges North","Pisaster ochraceus","2","Inner",0
2015,"Pre-Construction","Ridges North","Pisaster ochraceus","2","Middle",0
2015,"Pre-Construction","Ridges North","Pisaster ochraceus","2","Outer",0
2015,"Pre-Construction","Ridges North","Pisaster ochraceus","2","Deep",0
2015,"Pre-Construction","Ridges North","Strongylocentrotus purpuratus","1","Inner",0.0166666666666667
2015,"Pre-Construction","Ridges North","Strongylocentrotus purpuratus","1","Middle",0.0166666666666667
2015,"Pre-Construction","Ridges North","Strongylocentrotus purpuratus","1","Outer",0.0166666666666667
2015,"Pre-Construction","Ridges North","Strongylocentrotus purpuratus","1","Deep",0
2015,"Pre-Construction","Ridges North","Strongylocentrotus purpuratus","2","Inner",0
2015,"Pre-Construction","Ridges North","Strongylocentrotus purpuratus","2","Middle",0.0333333333333333
2015,"Pre-Construction","Ridges North","Strongylocentrotus purpuratus","2","Outer",0.0333333333333333
2015,"Pre-Construction","Ridges North","Strongylocentrotus purpuratus","2","Deep",0
2015,"Pre-Construction","Rocky Point North","Apostichopus californicus","1","Inner",0
2015,"Pre-Construction","Rocky Point North","Apostichopus californicus","1","Middle",0
2015,"Pre-Construction","Rocky Point North","Apostichopus californicus","1","Outer",0
2015,"Pre-Construction","Rocky Point North","Apostichopus californicus","1","Deep",0
2015,"Pre-Construction","Rocky Point North","Apostichopus californicus","2","Inner",0
2015,"Pre-Construction","Rocky Point North","Apostichopus californicus","2","Middle",0
2015,"Pre-Construction","Rocky Point North","Apostichopus californicus","2","Outer",0
2015,"Pre-Construction","Rocky Point North","Apostichopus californicus","2","Deep",0
2015,"Pre-Construction","Rocky Point North","Apostichopus parvimensis","1","Inner",0
2015,"Pre-Construction","Rocky Point North","Apostichopus parvimensis","1","Middle",0
2015,"Pre-Construction","Rocky Point North","Apostichopus parvimensis","1","Outer",0
2015,"Pre-Construction","Rocky Point North","Apostichopus parvimensis","1","Deep",0
2015,"Pre-Construction","Rocky Point North","Apostichopus parvimensis","2","Inner",0
2015,"Pre-Construction","Rocky Point North","Apostichopus parvimensis","2","Middle",0
2015,"Pre-Construction","Rocky Point North","Apostichopus parvimensis","2","Outer",0
2015,"Pre-Construction","Rocky Point North","Apostichopus parvimensis","2","Deep",0
2015,"Pre-Construction","Rocky Point North","Mesocentrotus franciscanus","1","Inner",0
2015,"Pre-Construction","Rocky Point North","Mesocentrotus franciscanus","1","Middle",0.0333333333333333
2015,"Pre-Construction","Rocky Point North","Mesocentrotus franciscanus","1","Outer",0.0166666666666667
2015,"Pre-Construction","Rocky Point North","Mesocentrotus franciscanus","1","Deep",0.0333333333333333
2015,"Pre-Construction","Rocky Point North","Mesocentrotus franciscanus","2","Inner",0
2015,"Pre-Construction","Rocky Point North","Mesocentrotus franciscanus","2","Middle",0.0166666666666667
2015,"Pre-Construction","Rocky Point North","Mesocentrotus franciscanus","2","Outer",0.0666666666666667
2015,"Pre-Construction","Rocky Point North","Mesocentrotus franciscanus","2","Deep",0.216666666666667
2015,"Pre-Construction","Rocky Point North","Patiria miniata","1","Inner",0
2015,"Pre-Construction","Rocky Point North","Patiria miniata","1","Middle",0
2015,"Pre-Construction","Rocky Point North","Patiria miniata","1","Outer",0
2015,"Pre-Construction","Rocky Point North","Patiria miniata","1","Deep",0
2015,"Pre-Construction","Rocky Point North","Patiria miniata","2","Inner",0
2015,"Pre-Construction","Rocky Point North","Patiria miniata","2","Middle",0
2015,"Pre-Construction","Rocky Point North","Patiria miniata","2","Outer",0
2015,"Pre-Construction","Rocky Point North","Patiria miniata","2","Deep",0
2015,"Pre-Construction","Rocky Point North","Pisaster giganteus","1","Inner",0
2015,"Pre-Construction","Rocky Point North","Pisaster giganteus","1","Middle",0
2015,"Pre-Construction","Rocky Point North","Pisaster giganteus","1","Outer",0
2015,"Pre-Construction","Rocky Point North","Pisaster giganteus","1","Deep",0
2015,"Pre-Construction","Rocky Point North","Pisaster giganteus","2","Inner",0
2015,"Pre-Construction","Rocky Point North","Pisaster giganteus","2","Middle",0
2015,"Pre-Construction","Rocky Point North","Pisaster giganteus","2","Outer",0
2015,"Pre-Construction","Rocky Point North","Pisaster giganteus","2","Deep",0
2015,"Pre-Construction","Rocky Point North","Pisaster ochraceus","1","Inner",0
2015,"Pre-Construction","Rocky Point North","Pisaster ochraceus","1","Middle",0
2015,"Pre-Construction","Rocky Point North","Pisaster ochraceus","1","Outer",0
2015,"Pre-Construction","Rocky Point North","Pisaster ochraceus","1","Deep",0
2015,"Pre-Construction","Rocky Point North","Pisaster ochraceus","2","Inner",0
2015,"Pre-Construction","Rocky Point North","Pisaster ochraceus","2","Middle",0
2015,"Pre-Construction","Rocky Point North","Pisaster ochraceus","2","Outer",0
2015,"Pre-Construction","Rocky Point North","Pisaster ochraceus","2","Deep",0
2015,"Pre-Construction","Rocky Point North","Strongylocentrotus purpuratus","1","Inner",0.116666666666667
2015,"Pre-Construction","Rocky Point North","Strongylocentrotus purpuratus","1","Middle",0.0833333333333333
2015,"Pre-Construction","Rocky Point North","Strongylocentrotus purpuratus","1","Outer",0.0333333333333333
2015,"Pre-Construction","Rocky Point North","Strongylocentrotus purpuratus","1","Deep",0
2015,"Pre-Construction","Rocky Point North","Strongylocentrotus purpuratus","2","Inner",0
2015,"Pre-Construction","Rocky Point North","Strongylocentrotus purpuratus","2","Middle",0.05
2015,"Pre-Construction","Rocky Point North","Strongylocentrotus purpuratus","2","Outer",0.15
2015,"Pre-Construction","Rocky Point North","Strongylocentrotus purpuratus","2","Deep",0
2015,"Pre-Construction","Rocky Point South","Apostichopus californicus","1","Inner",0
2015,"Pre-Construction","Rocky Point South","Apostichopus californicus","1","Middle",0
2015,"Pre-Construction","Rocky Point South","Apostichopus californicus","1","Outer",0
2015,"Pre-Construction","Rocky Point South","Apostichopus californicus","1","Deep",0
2015,"Pre-Construction","Rocky Point South","Apostichopus californicus","2","Inner",0
2015,"Pre-Construction","Rocky Point South","Apostichopus californicus","2","Middle",0
2015,"Pre-Construction","Rocky Point South","Apostichopus californicus","2","Outer",0
2015,"Pre-Construction","Rocky Point South","Apostichopus californicus","2","Deep",0
2015,"Pre-Construction","Rocky Point South","Apostichopus parvimensis","1","Inner",0
2015,"Pre-Construction","Rocky Point South","Apostichopus parvimensis","1","Middle",0
2015,"Pre-Construction","Rocky Point South","Apostichopus parvimensis","1","Outer",0
2015,"Pre-Construction","Rocky Point South","Apostichopus parvimensis","1","Deep",0
2015,"Pre-Construction","Rocky Point South","Apostichopus parvimensis","2","Inner",0
2015,"Pre-Construction","Rocky Point South","Apostichopus parvimensis","2","Middle",0
2015,"Pre-Construction","Rocky Point South","Apostichopus parvimensis","2","Outer",0
2015,"Pre-Construction","Rocky Point South","Apostichopus parvimensis","2","Deep",0
2015,"Pre-Construction","Rocky Point South","Mesocentrotus franciscanus","1","Inner",0
2015,"Pre-Construction","Rocky Point South","Mesocentrotus franciscanus","1","Middle",0
2015,"Pre-Construction","Rocky Point South","Mesocentrotus franciscanus","1","Outer",0.183333333333333
2015,"Pre-Construction","Rocky Point South","Mesocentrotus franciscanus","1","Deep",0.533333333333333
2015,"Pre-Construction","Rocky Point South","Mesocentrotus franciscanus","2","Inner",0
2015,"Pre-Construction","Rocky Point South","Mesocentrotus franciscanus","2","Middle",0.0666666666666667
2015,"Pre-Construction","Rocky Point South","Mesocentrotus franciscanus","2","Outer",0.216666666666667
2015,"Pre-Construction","Rocky Point South","Mesocentrotus franciscanus","2","Deep",0.0333333333333333
2015,"Pre-Construction","Rocky Point South","Patiria miniata","1","Inner",0
2015,"Pre-Construction","Rocky Point South","Patiria miniata","1","Middle",0
2015,"Pre-Construction","Rocky Point South","Patiria miniata","1","Outer",0
2015,"Pre-Construction","Rocky Point South","Patiria miniata","1","Deep",0
2015,"Pre-Construction","Rocky Point South","Patiria miniata","2","Inner",0
2015,"Pre-Construction","Rocky Point South","Patiria miniata","2","Middle",0
2015,"Pre-Construction","Rocky Point South","Patiria miniata","2","Outer",0
2015,"Pre-Construction","Rocky Point South","Patiria miniata","2","Deep",0
2015,"Pre-Construction","Rocky Point South","Pisaster giganteus","1","Inner",0
