"SampleYear","Site","BenthicReefSpecies","DiveReplicate","DepthZone","Density_m2"
2004,"Rocky Point North","Apostichopus californicus","1 N","Inner",0.133333333333333
2004,"Rocky Point North","Apostichopus californicus","1 N","Middle",2.91666666666667
2004,"Rocky Point North","Apostichopus californicus","1 N","Outer",0.2
2004,"Rocky Point North","Apostichopus californicus","1 S","Inner",0
2004,"Rocky Point North","Apostichopus californicus","1 S","Middle",0
2004,"Rocky Point North","Apostichopus californicus","1 S","Outer",0
2004,"Rocky Point North","Apostichopus californicus","2 N","Inner",1.11666666666667
2004,"Rocky Point North","Apostichopus californicus","2 N","Middle",4.4
2004,"Rocky Point North","Apostichopus californicus","2 N","Outer",0
2004,"Rocky Point North","Apostichopus californicus","2 S","Inner",0
2004,"Rocky Point North","Apostichopus californicus","2 S","Middle",0
2004,"Rocky Point North","Apostichopus californicus","2 S","Outer",0
2004,"Rocky Point North","Apostichopus parvimensis","1 N","Inner",0
2004,"Rocky Point North","Apostichopus parvimensis","1 N","Middle",0
2004,"Rocky Point North","Apostichopus parvimensis","1 N","Outer",0
2004,"Rocky Point North","Apostichopus parvimensis","1 S","Inner",0
2004,"Rocky Point North","Apostichopus parvimensis","1 S","Middle",0
2004,"Rocky Point North","Apostichopus parvimensis","1 S","Outer",0
2004,"Rocky Point North","Apostichopus parvimensis","2 N","Inner",0
2004,"Rocky Point North","Apostichopus parvimensis","2 N","Middle",0
2004,"Rocky Point North","Apostichopus parvimensis","2 N","Outer",0
2004,"Rocky Point North","Apostichopus parvimensis","2 S","Inner",0
2004,"Rocky Point North","Apostichopus parvimensis","2 S","Middle",0
2004,"Rocky Point North","Apostichopus parvimensis","2 S","Outer",0
2004,"Rocky Point North","Mesocentrotus franciscanus","1 N","Inner",0.1
2004,"Rocky Point North","Mesocentrotus franciscanus","1 N","Middle",0
2004,"Rocky Point North","Mesocentrotus franciscanus","1 N","Outer",0.15
2004,"Rocky Point North","Mesocentrotus franciscanus","1 S","Inner",0
2004,"Rocky Point North","Mesocentrotus franciscanus","1 S","Middle",0.616666666666667
2004,"Rocky Point North","Mesocentrotus franciscanus","1 S","Outer",0.133333333333333
2004,"Rocky Point North","Mesocentrotus franciscanus","2 N","Inner",0
2004,"Rocky Point North","Mesocentrotus franciscanus","2 N","Middle",0.0833333333333333
2004,"Rocky Point North","Mesocentrotus franciscanus","2 N","Outer",0.216666666666667
2004,"Rocky Point North","Mesocentrotus franciscanus","2 S","Inner",0
2004,"Rocky Point North","Mesocentrotus franciscanus","2 S","Middle",0.0333333333333333
2004,"Rocky Point North","Mesocentrotus franciscanus","2 S","Outer",0.4
2004,"Rocky Point North","Patiria miniata","1 N","Inner",0
2004,"Rocky Point North","Patiria miniata","1 N","Middle",0
2004,"Rocky Point North","Patiria miniata","1 N","Outer",0
2004,"Rocky Point North","Patiria miniata","1 S","Inner",0
2004,"Rocky Point North","Patiria miniata","1 S","Middle",0
2004,"Rocky Point North","Patiria miniata","1 S","Outer",0
2004,"Rocky Point North","Patiria miniata","2 N","Inner",0
2004,"Rocky Point North","Patiria miniata","2 N","Middle",0
2004,"Rocky Point North","Patiria miniata","2 N","Outer",0
2004,"Rocky Point North","Patiria miniata","2 S","Inner",0
2004,"Rocky Point North","Patiria miniata","2 S","Middle",0
2004,"Rocky Point North","Patiria miniata","2 S","Outer",0
2004,"Rocky Point North","Pisaster giganteus","1 N","Inner",0.0333333333333333
2004,"Rocky Point North","Pisaster giganteus","1 N","Middle",0.0166666666666667
2004,"Rocky Point North","Pisaster giganteus","1 N","Outer",0
2004,"Rocky Point North","Pisaster giganteus","1 S","Inner",0
2004,"Rocky Point North","Pisaster giganteus","1 S","Middle",0
2004,"Rocky Point North","Pisaster giganteus","1 S","Outer",0
2004,"Rocky Point North","Pisaster giganteus","2 N","Inner",0
2004,"Rocky Point North","Pisaster giganteus","2 N","Middle",0
2004,"Rocky Point North","Pisaster giganteus","2 N","Outer",0.05
