Site,Year,Species,DiveReplicate,DepthZone,Density_m2,mean_chl_mg_m3,max_chl_mg_m3,min_chl_mg_m3,mean_sst_C,max_sst_C,min_sst_C,dist_200m_bath,Relief_index,Relief_SD,Relief_simpson,Substrate_index,Substrate_SD,Substrate_simpson,Latitude,Longitude,Density_100m2,Era,FunctionalGroup,Site_Category,DZ_Density_100m2,mean_Density_100m2
3 Palms East,2014,Mesocentrotus franciscanus,1,Outer,0.2,3.99807735790523,14.1801503910276,0.478640002496216,17.9932584269663,21.6,14.98125,2612.71280944739,0.05241875,0.135283920876359,0.0821236559139785,3.37504375,0.640971693056103,0.336290322580645,33.71666,-118.33317,20,Wasting Event,Urchins,PVR&Adj,10,10
3 Palms East,2014,Mesocentrotus franciscanus,1,Deep,0,3.99807735790523,14.1801503910276,0.478640002496216,17.9932584269663,21.6,14.98125,2334.88986608606,0.01008125,0.0424417111410119,0.0196236559139785,3.4799,0.837523538030356,0.397043010752688,33.71402,-118.3341,0,Wasting Event,Urchins,PVR&Adj,5,5
3 Palms East,2014,Mesocentrotus franciscanus,2,Outer,0,3.99807735790523,14.1801503910276,0.478640002496216,17.9932584269663,21.6,14.98125,2612.71280944739,0.05241875,0.135283920876359,0.0821236559139785,3.37504375,0.640971693056103,0.336290322580645,33.71666,-118.33317,0,Wasting Event,Urchins,PVR&Adj,10,10
3 Palms East,2014,Mesocentrotus franciscanus,2,Deep,0.1,3.99807735790523,14.1801503910276,0.478640002496216,17.9932584269663,21.6,14.98125,2334.88986608606,0.01008125,0.0424417111410119,0.0196236559139785,3.4799,0.837523538030356,0.397043010752688,33.71402,-118.3341,10,Wasting Event,Urchins,PVR&Adj,5,5
3 Palms East,2014,Patiria miniata,1,Outer,0,3.99807735790523,14.1801503910276,0.478640002496216,17.9932584269663,21.6,14.98125,2612.71280944739,0.05241875,0.135283920876359,0.0821236559139785,3.37504375,0.640971693056103,0.336290322580645,33.71666,-118.33317,0,Wasting Event,Stars,PVR&Adj,0.833333333333335,0.833333333333335
3 Palms East,2014,Patiria miniata,1,Deep,0,3.99807735790523,14.1801503910276,0.478640002496216,17.9932584269663,21.6,14.98125,2334.88986608606,0.01008125,0.0424417111410119,0.0196236559139785,3.4799,0.837523538030356,0.397043010752688,33.71402,-118.3341,0,Wasting Event,Stars,PVR&Adj,2.5,2.5
3 Palms East,2014,Patiria miniata,2,Outer,0.0166666666666667,3.99807735790523,14.1801503910276,0.478640002496216,17.9932584269663,21.6,14.98125,2612.71280944739,0.05241875,0.135283920876359,0.0821236559139785,3.37504375,0.640971693056103,0.336290322580645,33.71666,-118.33317,1.66666666666667,Wasting Event,Stars,PVR&Adj,0.833333333333335,0.833333333333335
3 Palms East,2014,Patiria miniata,2,Deep,0.05,3.99807735790523,14.1801503910276,0.478640002496216,17.9932584269663,21.6,14.98125,2334.88986608606,0.01008125,0.0424417111410119,0.0196236559139785,3.4799,0.837523538030356,0.397043010752688,33.71402,-118.3341,5,Wasting Event,Stars,PVR&Adj,2.5,2.5
3 Palms East,2014,Pisaster giganteus,1,Outer,0,3.99807735790523,14.1801503910276,0.478640002496216,17.9932584269663,21.6,14.98125,2612.71280944739,0.05241875,0.135283920876359,0.0821236559139785,3.37504375,0.640971693056103,0.336290322580645,33.71666,-118.33317,0,Wasting Event,Stars,PVR&Adj,0,0
3 Palms East,2014,Pisaster giganteus,1,Deep,0,3.99807735790523,14.1801503910276,0.478640002496216,17.9932584269663,21.6,14.98125,2334.88986608606,0.01008125,0.0424417111410119,0.0196236559139785,3.4799,0.837523538030356,0.397043010752688,33.71402,-118.3341,0,Wasting Event,Stars,PVR&Adj,0,0
